reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto,day_of_week,day_of_month,month,is_weekend,is_month_start,is_month_end,pin_prefix,is_metro,state_clean,pin_rto_rate,pin_order_count,state_rto_rate,state_order_count,price_per_unit,discount_amount,discount_pct,shipping_to_price_ratio,price_category,has_valid_pincode,has_state,address_quality_score,product_rto_rate,product_order_count,product_length,pincode,dtdc_total_shipments,dtdc_failed_shipments,dtdc_failure_rate,dtdc_avg_delivery_days,dtdc_delivery_success_rate,dtdc_avg_address_quality,dtdc_avg_has_building,dtdc_avg_has_pincode,dtdc_avg_has_landmark,dtdc_avg_address_length,state,dtdc_state_shipments,dtdc_state_rto_rate,dtdc_state_avg_days,combined_pin_rto_rate,address_quality_delta,delivery_difficulty_score
DELIVERED,381809810413_1,2022-08-30,Jammu & Kashmir,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400.0,1400.0,Shipped,180006,Jammu & Kashmir,66.68,1400,121,1521,2022-08-30,0.0,1,30,8,0,0,1,180,0,Jammu & Kashmir,0.0,1,0.4,5,1521.0,-121,0.0,0.07955292570677186,premium,1,1,1.0,0.36363636363636365,11,62,,,,,,,,,,,,Jammu & Kashmir,1437.0,0.6123869171885873,2.965901183020181,0.0,1.0,1.0
RTO_LOCKED,940712900368_1,2022-08-10,Uttar Pradesh,Fancy embroidery sequence work gown with dupatta ,Dhk1094,XL,1,1461.0,1461.0,rto,208014,Uttar Pradesh,69.58,1461,114,1575,2022-08-10,1.0,2,10,8,0,0,0,208,0,Uttar Pradesh,1.0,1,0.4,10,1575.0,-114,0.0,0.07238095238095238,premium,1,1,1.0,1.0,1,49,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.5,1.0,1.0
DELIVERED,322259568161_1,2022-08-03,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Delivered,509001,Telangana,64.3,1350,108,1440,2022-08-03,0.0,2,3,8,0,1,0,509,0,Telangana,0.0,1,0.5714285714285714,7,1440.0,-90,0.0,0.075,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Telangana,1394.0,0.5903873744619799,2.988522238163558,0.0,1.0,1.0
CANCELLED,475133679575_1,2022-08-27,Jammu & Kashmir,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1910.0,1910.0,Cancelled,182101,Jammu & Kashmir,98.96,2078,0,2078,2022-08-27,1.0,5,27,8,1,0,1,182,0,Jammu & Kashmir,1.0,1,0.4,5,2078.0,0,0.0,0.0,premium,1,1,1.0,0.3333333333333333,3,62,,,,,,,,,,,,Jammu & Kashmir,1437.0,0.6123869171885873,2.965901183020181,0.5,1.0,1.0
RTO_COMPLETE,493966375185_1,2022-08-04,Odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,rto,760001,Odisha,64.3,1350,108,1458,2022-08-04,1.0,3,4,8,0,1,0,760,0,Odisha,1.0,1,0.5,8,1458.0,-108,0.0,0.07407407407407407,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Odisha,1345.0,0.5836431226765799,2.992565055762082,0.5,1.0,1.0
DELIVERED,284641390076_1,2022-08-09,Maharashtra, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,400607,Maharashtra,64.3,1350,105,1439,2022-08-09,0.0,1,9,8,0,0,0,400,1,Maharashtra,0.0,1,0.2857142857142857,7,1439.0,-89,0.0,0.0729673384294649,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Maharashtra,6910.0,0.5930535455861071,2.9662807525325614,0.0,1.0,1.0
DELIVERED,528661643961_1,2022-08-02,West Bengal,stlish dress,mk -6114,XL,1,750.0,750.0,Return,700061,West Bengal,35.72,750,79,829,2022-08-02,1.0,1,2,8,0,1,0,700,1,West Bengal,1.0,1,0.5555555555555556,9,829.0,-79,0.0,0.09529553679131483,high,1,1,1.0,1.0,1,12,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.5,1.0,1.0
DELIVERED,313984293646_1,2022-08-15,West Bengal,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,Delivered,700091,West Bengal,71.44,1500,110,1610,2022-08-15,0.0,0,15,8,0,0,0,700,1,West Bengal,0.0,1,0.5555555555555556,9,1610.0,-110,0.0,0.06832298136645963,premium,1,1,1.0,0.3333333333333333,3,91,,,,,,,,,,,,West Bengal,1352.0,0.5998520710059172,2.9903846153846154,0.0,1.0,1.0
RTO_COMPLETE,545646779706_1,2022-08-08,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,rto,515501,Andhra Pradesh,64.3,1350,114,1464,2022-08-08,1.0,0,8,8,0,0,0,515,0,Andhra Pradesh,1.0,1,0.7142857142857143,7,1464.0,-114,0.0,0.0778688524590164,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Andhra Pradesh,2752.0,0.5933866279069767,3.004360465116279,0.5,1.0,1.0
DELIVERED,755146728346_1,2022-08-13,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350.0,1350.0,Delivered,201009,Uttar Pradesh,64.3,1350,114,1448,2022-08-13,0.0,5,13,8,1,0,0,201,0,Uttar Pradesh,0.0,1,0.4,10,1448.0,-98,0.0,0.0787292817679558,premium,1,1,1.0,0.6578947368421053,38,73,,,,,,,,,,,,Uttar Pradesh,5514.0,0.6006528835690969,3.025208560029017,0.0,1.0,1.0
